title,episodes,mark,score,is_finish,link,series_follow,follows,coins,likes,danmus,views,season_id,media_id,tags,comments,pub_date,intro
小马宝莉 第四季,全26话,,9.7分,1,https://www.bilibili.com/bangumi/play/ss2671,481464,87792,8064,6450,203107,6098782,2671,2671,['萌系'],1083,2013/11/23,动画讲述了一只名叫做暮光闪闪/紫悦（Twilight Sparkle）的独角兽，要执行她导师塞拉斯缇娅公主/宇宙公主（Princess Celestia）的任务，在小马镇/小马谷（Ponyville）学习关于友谊的知识。她与另外五只小马，苹果杰克/苹果嘉儿（Applejack）、瑞瑞/珍奇（Rarity）、云宝黛西/云宝（Rainbow Dash）、小蝶/柔柔（Fluttershy）与萍琪/碧琪（Pinkie Pie），成为最要好的朋友。每只小马都分别代表了友谊的6个元素：诚实，慷慨，忠心，善良，欢笑，魔法，并在谐率水晶/和谐之元（Elements of Harmony）中，各自扮演着属于自己的重要角色。在动画中，...
小马宝莉 第三季,全13话,,9.7分,1,https://www.bilibili.com/bangumi/play/ss2670,481464,80893,6077,4798,94571,3780447,2670,2670,['萌系'],851,2012/11/10,动画讲述了一只名叫做暮光闪闪/紫悦（Twilight Sparkle）的独角兽，要执行她导师塞拉斯缇娅公主/宇宙公主（Princess Celestia）的任务，在小马镇/小马谷（Ponyville）学习关于友谊的知识。她与另外五只小马，苹果杰克/苹果嘉儿（Applejack）、瑞瑞/珍奇（Rarity）、云宝黛西/云宝（Rainbow Dash）、小蝶/柔柔（Fluttershy）与萍琪/碧琪（Pinkie Pie），成为最要好的朋友。每只小马都分别代表了友谊的6个元素：诚实，慷慨，忠心，善良，欢笑，魔法，并在谐率水晶/和谐之元（Elements of Harmony）中，各自扮演着属于自己的重要角色。在动画中，...
迷糊餐厅 WORKING!!!,全13话,独家,9.7分,1,https://www.bilibili.com/bangumi/play/ss2587,774374,362918,34694,7214,333199,13145506,2587,2587,"['搞笑', '日常', '声控', '美食']",2721,2015/7/4,在2014年8月10日举办的的“夏祭哟！全员集合 ～《迷糊餐厅》&《跟班×服务》合作活动～”的最后，发表了《WORKING!!迷糊餐厅》TV动画第3期的制作决定。电视动画将于2015年7月开始播放。
黑塔利亚 The World Twinkle 第6期,全15话,,9.7分,1,https://www.bilibili.com/bangumi/play/ss2581,964521,427975,40358,21253,445493,21432683,2581,2581,"['萌系', '日常', '泡面', '声控']",3151,2015/7/3,将世界上各国固有的风俗、风潮、水土等赋予角色，将国家拟人化的历史喜剧。以世界史为主轴，以主角意大利所属的轴心国为中心，史实中夹杂诙谐，描写各国之间的可爱故事。第六季的副标题为The World Twinkle。
赤发白雪姬 第一季,全12话,,9.7分,1,https://www.bilibili.com/bangumi/play/ss2578,1342659,1165770,83775,32422,999189,25792462,2578,2578,"['少女', '奇幻', '架空']",4437,2015/7/6,天生拥有一头如红苹果般美丽发色的少女白雪，因为稀有的发色而被恶名昭彰的拉冀王子看上，打算强行纳她为爱妾。困扰的她剪下一撮红发后离家出走，决定离开自己的国家。在逃到邻国克拉利涅斯的森林时，白雪遇到了偷偷出城游玩的克拉利涅斯王国第二王子——千，以及他的随从光秀和木木。在与千成了朋友并知道了他的真实身分后，白雪决定在克拉利涅斯王国留下来，并决心以自己的力量成为千的助力……
哆啦A梦 大雄与梦幻三剑士,全1话,,9.7分,1,https://www.bilibili.com/bangumi/play/ss2562?theme=movie,1338448,31085,1816,1531,17814,655018,2562,2562,"['萌系', '奇幻', '科幻', '少儿']",277,1994/3/12,现实世界里的大雄一事无成，利用哆啦A梦的造梦机，在梦境世界却成为英雄剑士，与妖怪军团作战，但是梦境渐渐与现实交错，发生不可思议的事情。大雄使用了哆啦A梦的任意选择梦境机套装，并配上“梦幻三剑士”的盒带，把他带进了一个超真实的梦幻世界，在梦之国当中--犹美伦国正被妖灵大帝侵略。而大雄为救静香公主并与她结婚，决定起肩负打倒妖灵大帝柯多来武的重任。 到底得到白银之剑而变身成白银剑士的大雄，与好友小夫、胖虎、静香及变身成魔法师的哆啦A梦在梦境中会遇到什么困难呢……
小魔女学园,全1话,,9.7分,1,https://www.bilibili.com/bangumi/play/ss2547,967272,132941,5440,2494,15578,1387860,2547,2547,"['萌系', '奇幻', '搞笑', '校园']",1280,2013/3/2,从小就对魔术表演深深着迷的阿科，入院进入了欧洲的魔女培养名校“露娜诺娃魔法学校”进行学习。但与巨大的期待相反，每天的授课意外地无聊。决心要打破魔法界保守的氛围，夺回梦寐以求的魔法的阿科，却遭到周围的冷眼嘲笑，甚至连课业也止步不前。而她唯一的队友就只有室友兼好友的萝特和苏西二人。就在这样日子里的某一天，学校发生了件不得了的大事件。手握着解决这措手不及事件关键的阿科，同萝特和苏西一同面对着学校分崩离析的危机！
言叶之庭,全1话,,9.7分,1,https://www.bilibili.com/bangumi/play/ss2546?theme=movie,2166246,2166246,189379,56084,696261,18598175,2546,2546,"['日常', '少女', '治愈']",17813,2013/5/31,刚满15岁的高中生秋月孝雄，因母亲离家出走，不得不为了生计打工赚钱。入梅之日，孝雄逃课来到一座日本庭园。安静的小亭子里，27岁的职场女性雪野百香里边吃巧克力、边喝啤酒的样子引起了他的注意。对彼此感到似曾相识的二人，每到落雨之日便从世俗的烦恼中逃脱出来，相会于这座都市丛林中的幽静角落。在梅雨季节，他们的心渐渐互相靠拢。志愿成为手工鞋匠的秋月，决心为雪野做一双鞋。雨过天晴，艳阳高照，庭园中久久不见两人的身影……
少女革命 思春期默示录,全1话,,9.7分,1,https://www.bilibili.com/bangumi/play/ss2493?theme=movie,174261,43631,1126,3181,3705,241548,2493,2493,"['奇幻', '战斗']",496,1999/8/14,打扮成男子模样的少女·天上欧蒂娜因为某个原因而转学到贵族学校·凤学园，在那里，她遇到了被称为“蔷薇新娘”的美丽少女姬宫安希，从而被卷入了一场以争夺“蔷薇新娘”为目标的决斗游戏。与TV版相比，剧场版的很多设定都作了大幅度变更。监督几原邦彦在制作剧场版时减少了突发演出的场面，希望让观众更容易理解作品的意涵。画面比TV版更华丽且超乎现实，相对地，故事内容更现实而残酷。剧场版中，欧蒂娜幼时不曾遇见过王子，想成为王子是由于其他更强烈的理由；男装打扮也比TV版更为彻底，只有在决斗时才会把头发放下，动作和语气也显得更男孩...
铁臂阿童木 1980,全52话,,9.7分,1,https://www.bilibili.com/bangumi/play/ss2449,73302,38786,1337,1155,26126,951675,2449,2449,"['时泪', '萌系', '科幻', '少儿']",311,1980/10/1,《铁臂阿童木》是日本漫画界一代宗師手塚治虫的首部長篇连载作品。故事講述少年仿生人阿童木在未來21世紀裏為了人類的福祉而活躍。日本電視網在1980年重新繪製了同劇彩色版，共52集。1980年代中臺灣、香港均有播放了此版本《小戰士》。同年12月中國中央電視台引進黑白版播放，成為最早引進中國大陸的日本動畫作品之一，播出後廣受歡迎。
