title,season_id,pub_real_date
鬼灭之刃 无限列车篇,39444,1637078400
键等学园/键等,39438,1636473600
JOJO的奇妙冒险 石之海,39431,1661961600
关于前辈很烦人的事,39424,1633795200
平家物语,39347,1631635200
机动战士高达：闪光的哈萨维,39050,1625155200
隐瞒之事 电影剪辑版,38995,1628265600
命运-冠位嘉年华,38947,1630684800
阴晴不定大哥哥,38923,1625500800
蜡笔小新 呼风唤雨！夕阳下的春日部男孩,3885,1082131200
蜡笔小新 呼风唤雨！战国大合战,3881,1019232000
蜡笔小新 呼风唤雨！大人帝国的反击,3880,987782400
魔卡少女樱 被封印的卡片,3860,963590400
轻松小熊和小薰,38516,1622476800
佐賀偶像是傳奇 捲土重來（僅限港澳台地區）,38432,1617811200
欧布奥特曼,38415,1617120000
艾克斯奥特曼,38410,1617120000
梦比优斯奥特曼,38407,1617120000
麦克斯奥特曼,38406,1617120000
奈克赛斯奥特曼,38404,1617120000
盖亚奥特曼（中配）,38402,1617120000
泽塔奥特曼,38397,1617120000
關於我轉生變成史萊姆這檔事 轉生史萊姆日記（僅限台灣地區）,38391,1617638400
明日之丈 第二季,38378,1616515200
薇薇 -萤石眼之歌-,38260,1619884800
SSSS.电光机王,38233,1617897600
高智能方程式：SIN,3811,914169600
高智能方程式：SAGA,3810,838828800
岸边露伴 一动也不动,38035,1613750400
石川由依 朗读剧系列UTA-KATA,37957,1612540800
DRAMAtical Murder OVA,3785,1404576000
舞伎家的料理人,37822,1614182400
五等分的新娘∬（僅限港澳台地區）,37808,1610035200
碧蓝航线：微速前行！,37498,1610380800
偶像荣耀/IDOLY PRIDE,36290,1610294400
文豪野犬 汪！,36287,1610467200
巴克·亚罗/BACK ARROW,36282,1610121600
堀与宫村,36198,1610121600
工作细胞BLACK,36177,1610208000
Little Busters! ～Refrain～,3570,1380902400
超时空要塞 可曾记得爱,3557,459187200
排球少年剧场版 结束与开始,3542,1435852800
晨曦公主 OAD,3523,1442505600
Love Live! 学园偶像 电影,35182,1606665600
笨蛋，测验，召唤兽 OVA,3486,1298390400
与汪汪喵喵同居的开心日常,34841,1604073600
One Room 第三季,34715,1601913600
来自深渊 深沉灵魂的黎明,34543,1601395200
命运石之门 境界面上的迷失之链,3449,1448985600
黑子的篮球 第3期 OVA,3444,1443110400
体操武士,34435,1602345600
龙与魔女/BURN THE WITCH,34432,1601568000
Love Live！虹咲学园学园偶像同好会,34418,1601654400
路人女主的养成方法 Fine,34394,1600790400
斩服少女 OAD,34241,1409846400
冰菓,3398,1335024000
怪医黑杰克剧场版之超人类,33965,1593964800
×××HOLiC 仲夏夜之梦,3396,1124467200
×××HOLiC 笼 徒梦,3395,1299600000
×××HOLiC 笼,3391,1271952000
×××HOLiC 春梦记,3390,1234800000
×××HOLiC 继,3389,1207152000
銀魂（僅限港澳台地區）,33577,1144252800
名侦探柯南 计时引爆摩天楼,33542,1590076800
名侦探柯南（中配）,33415,1588176000
怪盗基德1412,33384,1588176000
怪盗基德,33383,1588176000
名侦探柯南,33378,1588176000
ACCA13区监察课－Regards,33330,1585238400
奇诺之旅,33327,1049731200
BanG Dream! 少女乐团派对！☆PICO～大份～,33176,1588780800
BT21 UNIVERSE动画,33077,1564502400
革命机Valvrave,3307,1365609600
高达创形者 再起 第二季,33060,1586361600
放学后海堤日记,33026,1586188800
听我的电波吧,32983,1585929600
辉夜大小姐想让我告白？～天才们的恋爱头脑战～,32982,1586620800
邪神与厨二病少女 第二季,32938,1586102400
IDOLiSH7-偶像星愿- Second BEAT!,32915,1586016000
哆啦A梦 第三季,32779,1113494400
哆啦A梦 第一季,32777,1113494400
BanG Dream! 梦想协奏曲 电影演唱会,31861,1578240000
灰与幻想的格林姆迦尔,3103,1452355200
GJ部@,3075,1399219200
Love Live! School Idol Project（第二季）,3071,1396713600
游戏王 怪兽之决斗,3054,955987200
请问您今天要来点兔子吗？？～Sing for You～,30288,1576857600
星际牛仔 天国之扉,3008,999273600
特别的她,2988,956678400
拽妹黛薇儿 第二季,2954,887558400
拽妹黛薇儿 第一季,2953,857145600
神推偶像登上武道馆我就死而无憾,29351,1578585600
索玛丽与森林之神,29334,1577894400
某科学的超电磁炮T,29325,1578672000
异度侵入 ID:INVADED,29310,1578240000
BanG Dream! 梦想协奏曲 第三季,29308,1578326400
花开伊吕波 Home Sweet Home,2927,1362758400
狼的孩子雨和雪,2923,1342800000
齐木楠雄的灾难 始动篇,29052,1577721600
机动战士高达 THE ORIGIN VI：红色彗星的诞生,29051,1531411200
青春猪头少年不会梦到怀梦美少女,28965,1573574400
剧场版 阿松,28960,1573228800
吹响吧！上低音号～想要传达的旋律～,28950,1506700800
吹响吧！上低音号～欢迎来到北宇治高中吹奏乐部～,28938,1461340800
猫眼三姐妹,2876,426700800
排球少年！！第二季（僅限港澳台地區）,28737,1443801600
圣诞之吻SS+ SP,2866,1325692800
钻石王牌 act II 后半,28635,1569254400
银河英雄传说：全新命题 星乱,28616,1569513600
路人超能100 第一次灵能咨询所员工旅游～舒缓心灵的疗愈之旅~（OVA2）,28610,1569340800
犬夜叉,28324,971625600
花田少年史,2825,1033401600
月刊少女野崎君（僅限港澳台地區）,28180,1404576000
排球少年 烏野高校 VS 白鳥澤學園高校（僅限港澳台地區）,28115,1475769600
彼方的阿斯特拉（僅限港澳台地區）,28017,1562083200
女高中生的虚度日常,28016,1562256000
街角魔族,28007,1562860800
怪医黑杰克 OVA（1993）,2797,756403200
小马宝莉 第五季 (中配）,27733,1428076800
我们这一家 新篇,2771,1444060800
请问您今天要来点兔子吗？？,2762,1444406400
冰海战记,27395,1562515200
机动战士高达 THE ORIGIN I：苍瞳的卡斯巴尔,27064,1429804800
战斗妖精雪风,2702,1030204800
天元突破红莲螺岩,27014,1175356800
昭和元祿落語心中（僅限港澳台地區）,2701,1452182400
進擊的巨人 第三季 Part.2（僅限台灣地區）,26963,1556467200
少女☆歌剧Revue Starlight -The LIVE- #1 revival,26930,1555084800
偶像大师 剧场版 向着光辉的彼岸！,2685,1390579200
少女☆歌劇 Revue Starlight（僅限港澳台地區）,26841,1531411200
偶像大师,2684,1309968000
男子高中生的日常,2680,1326038400
MIX,26770,1554480000
文豪野犬 第三季,26769,1554998400
小马宝莉 第五季,2672,1428076800
小马宝莉 第四季,2671,1385136000
小马宝莉 第三季,2670,1352476800
小马宝莉 第二季,2669,1316188800
小马宝莉 第一季,2668,1286640000
CLANNAD 另一个世界 智代篇,2655,1216137600
虫师 续章 铃之雫,2648,1431705600
齐木楠雄的灾难 完结篇,26347,1545926400
BanG Dream! 第二季,26305,1546444800
天使降临到我身边,26291,1546876800
约定的梦幻岛,26281,1546963200
純情羅曼史 第3季（僅限港澳台地區）,2628,1436371200
ENDRO~!,26275,1547308800
辉夜大小姐想让我告白～天才们的恋爱头脑战～,26274,1547308800
玛纳利亚的密友（Mysteria Friends）/巴哈姆特之怒/玛娜利亚魔法学院,26271,1548000000
昭和元祿落語心中-助六再臨篇（僅限港澳台地區）,26170,1483632000
东京教父,2597,1068220800
青春猪头少年不会梦到兔女郎学姐,25733,1538582400
佐賀偶像是傳奇（僅限港澳台地區）,25689,1538668800
JOJO的奇妙冒险 黄金之风,25681,1538755200
彩虹小马 小马国女孩2：彩虹摇滚,25654,1411747200
终将成为你,25622,1538668800
邻家索菲,25619,1538668800
魔法少女小圆,2539,1294243200
NEKOPARA EXTRA 小猫篇（猫娘乐园）,25152,1532620800
剧场版 中二病也要谈恋爱！ -Take On Me-,25045,1531843200
向山进发 回忆的礼物,24952,1516896000
牵牛花与加濑同学。,24951,1540569600
新机动战记高达W剧场版 无尽的华尔兹,2491,901900800
阿尔卑斯山的少女,2480,126633600
灰与幻想的格林姆迦尔 OVA,24745,1458057600
请问您今天要来点兔子吗？？～Dear My Sister～,24702,1533744000
鲁邦三世 第一季,2469,1609171200
少女☆歌剧 Revue Starlight,24622,1531411200
前进吧！登山少女 第三季,24605,1530547200
BanG Dream! 少女乐团派对☆PICO,24569,1530720000
铁臂阿童木 2003,2450,1049558400
铁臂阿童木 1980,2449,339177600
传说巨神伊迪安,2448,326649600
小马宝莉 友谊的魔力 第七季,24265,1492185600
棒球英豪 TV版,2425,480528000
城市猎人 TV版,2416,544723200
排球少年剧场版 观念之战,23979,1506614400
排球少年剧场版 才能与感觉,23978,1505404800
光能使者,2397,607881600
装甲重拳/MEGALOBOX,23880,1522944000
鬼灯的冷彻 第二季 其二,23877,1523116800
鲁邦三世 第五季,23854,1522684800
赛马娘,23834,1522598400
Comic Girls,23829,1522857600
高智能方程式,2350,668966400
幽游白书,2338,718646400
怪盗圣少女,2321,1616428800
浪客剑心,2303,821203200
少女革命,2277,859910400
失落的宇宙,2254,891532800
卫宫家今天的饭,22504,1514736000
麻辣教师GTO,2238,930672000
超级酷乐猫,2204,938793600
比宇宙更远的地方,21778,1514822400
紫罗兰永恒花园,21542,1515600000
齐木楠雄的灾难 第二季,21469,1516118400
