tags,pub_date,long_com,short_com,cv,staff,intro,media_id
['泡面'],2017年10月10日,长评 ( 1 ),短评 ( 27 ),"Onyankopon：内田真礼,仓鼠（亲丸）：まこ,仓鼠（粒次郎）：みなみ,仓鼠（玉子）：りりり,美西螈：大平峻也,水獭：志村禎雄,女高中生（凛奈）：小澤亜李,女高中生（一花）：长绳麻理亚","监督：菅原そうた,角色设定：末政ひかる,脚本：尾中たけし,3D建模：ばね＠まじめもでら、銀獅、金子卵黄、大葉真琴、坂野光貴、TOONZ ENTERTAINMENT PTE. LTD.,3DCG动画：ポンポコP、あず、かんな、犬風邪,背景：ごとうしずか,舞蹈背景&编辑：大月壮,制作：アスミック・エース、京風とまと、Donuts",「我舞故我在」非洲西部的天空神Onyankopon利用歌舞来拯救女高中生！,7392
"['热血', '战斗']",1974年10月1日,长评,短评 ( 16 ),"鎧 武士：曽我部和行,車 錠：青野武,南波 テル：落合美穂,男爵：立壁和也,鬼河原 虎五郎：雨森雅司","原作：吉田竜夫、タツノコプロ企画室,企画：鳥海尽三、酒井あきよし,角色设计：吉田竜夫、天野嘉孝,音乐：菊地俊輔,音响制作：アーツプロ,效果：イシダサウンド,总监督：鳥海永行,制作人：宮崎慎一、佐藤光雄、衛藤公彦,作画监督：二宮常雄,美术监督：中村光毅,制作进行：大平秀明、鎌田正治、中野政則、織田成大、小島幸雄、嘉義良隆,制作：NETテレビ、タツノコプロ、萬年社",《破里拳 Hurricane Polimar》是由龙之子工作室制作吉田龙夫原作的科幻动画作品，于1974年至1975年放送，共26话。,10612
"['泡面', '原创']",2017年10月,长评 ( 1 ),短评 ( 30 ),"日之光：石井马克,笹锦：泽城千春,一见钟情：草摩宗介,秋田小町：小森未彩,笑丸：玉城仁菜,ANN：榎木淳弥,SHOCK：铃木裕斗,CARRY：大河元气,越光：津田健次郎,丁丁和尚：杉田智和","综合制作人：福原庆匡,原案、系列构成：高林ユーキ,剧本：伊福部崇,角色设计：あおいれびん,美术监督：NOB-C,监督：堀内隆（Graphinica）,动画制作人：定山敬,音响制作人：中野彻,音响监督：房黄金,音乐：Tsubasa Plus,宣传：小林健一",《爱米-WE LOVE RICE-》是由YAOYOROZU企划，Encourage Films制作的原创电视动画作品。,6478
"['日常', '漫画改']",2017年10月4日,长评,短评 ( 25 ),"都仓碧：下野纮,岩濑启一：绿川光,樱木凉太：宫野真守,古贺紫苑：平川大辅,天见浩司：堀川亮,古贺シオン：平川大辅,古贺ノエル：山本和臣,古贺ニコラ：山谷祥生,有泽纯：山本匠马,鸟越阳佳：丸江俊也","原　作:ＩＡＭ電子出版,監　督:石井久志,シリーズ構成:藤本冴香,キャラクターデザイン・作画監督:徳川恵梨,音響監督:今泉雄一,音響:ヤオヨロズラボ,主題歌:風男塾(テイチクエンタテインメント),企画・製作 :チームあめこん",大学一年级学生·都仓碧因机缘巧合而来到咖啡厅“Rainy Color”打工。在那里，他遇到了冷酷的帅哥岩濑启一、举止轻率的樱木凉太、温柔又是女性杀手的“Rainy color”老板古贺紫苑、以及过于自由奔放的店主天见浩司。就这样，围绕“Rainy color”展开的充满热情的喜剧正式开演。这是在“Rainy Color”展开的真心喜剧！,6476
"['搞笑', '科幻']",2013年2月6日,长评,短评 ( 21 ),0,0,机动纪元8013年 在人类灭绝的地球上剩下的大量军用机器人进行着无休无止的战争....(本动画是通过不添麻烦的谨慎进行的调查而让人愉快欣赏机器人可爱之处的节目),642
['战斗'],1973年10月2日,长评,短评 ( 30 ),"卡辛：西川几雄,东光太郎：山内雅人","原作: 吉田竜夫、タツノコプロ企画室,脚本: 石原久夫、酒井あきよし、落合茂一、三宅直子、小山高生、福井忠、若松はじめ、多村映美、武末勝、石井喜一、長田紀生、松浦健郎、鳥海尽三,演出: 笹川ひろし、原征太郎、富野由悠季、布川ゆうじ、岡迫和之,音乐: 菊池俊輔,人物设定: 天野喜孝、吉田竜夫,美术监督: 中村光毅,作画监督: 井口忠一、林政行、川端宏,企画: 鸟海尽三,动画制作: 龙之子工作室",东博士发展称为仿生人的机器人，它不像真人害怕污染物且具有近似真人的智慧，目的是用来解决环境污染和生态保育问题，但意外机器人BK-1被电死后突然反叛人类，杀害了博士和多名科学家，并控制了其他机器人。因为是出于内部的暴乱，而且人类的军警也无法应对有人工智能的机器，导致机器人军团迅速征服了日本。在其开始征服世界前，东博士的儿子东铁也把自己改造成机械化人卡辛对抗机器人军团......,10572
"['热血', '科幻']",1978年7月15日,长评,短评 ( 6 ),制作：タツノコプロ、フジテレビ,0,《科学小飞侠 THE MOVIE》系1972年放送的科学小飞侠系列的剧场版作品，于1978年7月15日上映。,6399
[],2017年8月3日,长评 ( 1 ),短评 ( 17 ),"芭拉拉：爱德华兹,卡伦：麦罗拉",0,这是一个与我们世界极其相似、宇航业高度发展的世界。一日，那个世界的驻空间站宇航系学生芭拉拉和卡伦连通了与我们这个世界的通信讯号。为了锻炼“就算遇到外星文明也可以顺利交流”的能力，她们的目标是在我们的世界成为拥有1亿（？）粉丝的视频主播。,6392
[],2017年7月28日,长评,短评 ( 6 ),0,0,2.5次元舞台剧 10月登陆中国,6384
"['搞笑', '泡面']",2017年7月17日,长评,短评 ( 18 ),"PIKO太郎：ピコ太郎,他：ピコ太郎","企画・原案：古坂大魔王,监督／人物设计：谷口崇,音乐：古坂大魔王,动画制作：DLE,制作：ピコ太郎のララバイラーラバイ製作委員会",以PICO太郎为主角的三分钟即兴演出泡面番。,6378
