title,episodes,mark,score,is_finish,series_follow,follows,coins,likes,danmus,views,area,count,season_type,season_id,media_id,link
×××HOLiC,全24话,会员专享,9.8,1,1897175,1738854,75906,130535,664216,24499054,日本,9724,1,1239,1239,https://www.bilibili.com/bangumi/play/ss1239
海马,全12话,,9.8,1,104924,104924,4494,3718,17901,941409,日本,1633,1,1238,1238,https://www.bilibili.com/bangumi/play/ss1238
宝石宠物 Tinkle☆（第二季）,全52话,,9.8,1,132568,115936,4811,7437,53167,4510621,日本,834,1,123,123,https://www.bilibili.com/bangumi/play/ss123
超智游戏,全25话,,9.8,1,150240,150240,12772,11683,85675,7026194,日本,2913,1,1205,1205,https://www.bilibili.com/bangumi/play/ss1205
机动战士高达00 第二季,全25话,,9.8,1,742083,396873,47125,89614,656712,28059998,日本,7865,1,1193,1193,https://www.bilibili.com/bangumi/play/ss1193
CLANNAD ～AFTER STORY～另一个世界 杏篇,全1话,会员专享,9.8,1,4014180,451292,70992,42668,44894,3528998,日本,6985,1,1180,1180,https://www.bilibili.com/bangumi/play/ss1180
天体战士 第2期,全26话,,9.8,1,19798,7795,934,561,12765,439429,日本,372,1,1160,1160,https://www.bilibili.com/bangumi/play/ss1160
秀逗魔导士 第一季,全26话,,9.8,1,153227,113542,5431,7714,9365,3096218,日本,1421,1,1112,1112,https://www.bilibili.com/bangumi/play/ss1112
狼与香辛料 第二季,全13话,,9.8,1,1214400,519029,53491,20369,202125,5549736,日本,10953,1,1072,1072,https://www.bilibili.com/bangumi/play/ss1072
DARKER THAN BLACK -黑之契约者-,全26话,独家,9.8,1,1765130,1677978,70140,82505,641060,22679815,日本,12140,1,1064,1064,https://www.bilibili.com/bangumi/play/ss1064
交响情人梦,全23话,,9.8,1,235083,202460,5660,4598,69505,3996676,日本,1439,1,1039,1039,https://www.bilibili.com/bangumi/play/ss1039
KERORO军曹,全358话,,9.8,1,254214,222052,17634,15512,307360,13857728,日本,2346,1,103,103,https://www.bilibili.com/bangumi/play/ss103
梦色蛋糕师,全63话,,9.8,1,402151,402151,25377,36539,450851,28435119,日本,3841,1,1000,1000,https://www.bilibili.com/bangumi/play/ss1000
间谍过家家,更新至第15话,会员抢先,9.7,0,11358539,11311824,2441410,6509376,2295636,475567032,日本,103999,1,41410,28237119,https://www.bilibili.com/bangumi/play/ss41410
咒术回战,全24话,会员专享,9.7,1,11625240,11483261,4295820,9837954,5016342,740022298,日本,231649,1,34430,28229899,https://www.bilibili.com/bangumi/play/ss34430
鬼灭之刃,全26话,独家,9.7,1,14967400,12076231,3994094,4124112,10186988,895527277,日本,399270,1,26801,22718131,https://www.bilibili.com/bangumi/play/ss26801
鬼灭之刃 游郭篇,全11话,独家,9.7,1,14967400,13972713,818436,1937264,840546,200436424,日本,39079,1,39433,28235125,https://www.bilibili.com/bangumi/play/ss39433
德凯奥特曼,更新至第17话,会员抢先,9.7,0,1615776,535746,216708,846419,524384,60236215,日本,23124,1,42186,28338633,https://www.bilibili.com/bangumi/play/ss42186
EVA 新世纪福音战士,全26话,,9.7,1,3360117,2878923,530642,1016001,2477541,113608062,日本,63122,1,1635,1635,https://www.bilibili.com/bangumi/play/ss1635
刀剑神域,全25话,,9.7,1,7995662,3723973,1101547,824898,8108825,176513629,日本,95079,1,4452,24755609,https://www.bilibili.com/bangumi/play/ss4452
齐木楠雄的灾难,全24话,会员专享,9.7,1,5239872,3144332,358313,534261,1557236,159945437,日本,35249,1,5069,5069,https://www.bilibili.com/bangumi/play/ss5069
戒律的复活,全24话,独家,9.7,1,2967645,2129219,175268,180778,561530,101829282,日本,22649,1,21729,11932,https://www.bilibili.com/bangumi/play/ss21729
我的青春恋爱物语果然有问题。,全13话,,9.7,1,6880371,4688919,516537,519600,5458998,104259123,日本,49395,1,1539,1539,https://www.bilibili.com/bangumi/play/ss1539
