title,episodes,mark,score,is_finish,follows,coins,likes,danmus,views(million),views,area,count,season_id,long_com,short_com,production,乙女,偶像,催泪,冒险,剧情,动作,动画,励志,历史,原创,喜剧,声控,奇幻,小说改,少儿,少女,恋爱,恐怖,惊悚,战斗,推理,搞笑,无,日常,时泪,智斗,机战,架空,校园,歌舞,治愈,泡面,游戏改,漫画改,热血,爱情,特摄,社团,神魔,科幻,穿越,美食,职场,萌系,萝莉,运动,音乐,魔法,year,month,day,season
八犬传 -东方八犬异闻- 第二季,13,免费,9.7,1,373142,13761,29730,217532,7.33,7327417,日本,1994,529,13,576,无,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,7,7,3
魔神凯撒,7,免费,9.7,1,31899,1473,6175,7484,0.7,696277,日本,270,5289,1,89,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,9,25,3
网球王子,178,会员专享,9.7,1,507668,53167,107578,1618770,46.64,46643889,日本,4821,5281,16,1243,无,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,10,10,4
八犬传 -东方八犬异闻- 第一季,13,免费,9.7,1,705937,20769,51450,269496,11.8,11804875,日本,2778,528,8,777,无,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1,5,1
战姬绝唱SYMPHOGEAR G,13,免费,9.7,1,117854,5394,8837,40991,2.24,2237272,日本,1319,527,11,369,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2013,7,4,3
战姬绝唱SYMPHOGEAR,13,免费,9.7,1,230890,8147,13906,67230,3,2998461,日本,1654,526,18,469,无,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2012,1,6,1
剧场版「High☆Speed! -Free! Starting Days-」,1,会员专享,9.7,1,290251,6627,19400,31161,0.85,847352,日本,2315,5239,8,620,京都动画,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,12,5,4
恋爱情结,24,免费,9.7,1,189466,9353,7316,127615,4.36,4359915,日本,1873,5221,19,735,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,4,7,2
蔷薇少女,12,免费,9.7,1,656782,22842,47076,159973,6.61,6607441,日本,3475,522,16,1075,无,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2004,10,7,4
Free! -Eternal Summer-,13,会员专享,9.7,1,503525,41828,79943,587853,10.83,10833631,日本,3936,5201,15,915,京都动画,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,7,2,3
魁!!库洛马迪高校,26,免费,9.7,1,49638,2608,5518,8993,0.82,819355,日本,430,5177,0,133,Production I.G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,10,2,4
现视研1,12,免费,9.7,1,151221,2989,4372,46445,1.54,1544655,日本,750,517,8,227,P.A.WORKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004,10,10,4
玉响～hitotose～,13,免费,9.7,1,137760,3233,2314,25275,0.89,888528,日本,735,514,7,273,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2011,10,3,4
我的妹妹小桃子,1,免费,9.7,1,15474,1428,1290,2267,0.19,186267,日本,332,5127,1,140,无,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003,7,23,3
星之梦,5,独家,9.7,1,1211374,70724,45851,265965,11.35,11351175,日本,7598,5045,52,2445,david production,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,7,7,3
天真与闪电,12,免费,9.7,1,1259637,91814,94364,504970,21.92,21923884,日本,5932,5029,15,1874,TMS Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,7,5,3
NEW GAME!,12,免费,9.7,1,1632690,137319,114746,934436,30.72,30720284,日本,9137,5027,12,2364,动画工房,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,7,6,3
第一神拳 Rising,25,免费,9.7,1,55128,4599,9831,41109,3.82,3822951,日本,540,502,0,140,"MADHOUSE,MAPPA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,10,5,4
地狱少女,26,会员专享,9.7,1,2245963,66591,156641,352787,21.33,21334712,日本,8576,4996,39,2413,Studio DEEN,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2005,10,4,4
怪医黑杰克21,17,免费,9.7,1,62773,3743,9166,34053,1.63,1627761,日本,717,4922,2,202,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,4,10,2
河童之夏,1,免费,9.7,1,114301,5954,7582,36608,1.03,1028441,日本,904,4760,5,299,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,7,28,3
枪神剧场版,1,免费,9.7,1,47947,2261,2144,4321,0.56,562042,日本,507,4686,1,142,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,4,24,2
时光钟摆,1,免费,9.7,1,16046,2040,508,472,0.11,107601,日本,661,4600,1,234,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,3,20,1
Code Geass 反叛的鲁路修 娜娜莉梦游仙境,1,免费,9.7,1,211098,7501,8473,14532,1.86,1864309,日本,2209,4446,9,787,Sunrise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,7,27,3
黄金拼图,12,独家,9.7,1,407488,18888,23528,172462,3.04,3039921,日本,3422,443,15,998,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,7,6,3
AURA ～魔龙院光牙最后的战斗～,1,会员专享,9.7,1,302966,32390,41248,21704,1.55,1549742,日本,4010,4422,22,1482,AIC,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,4,13,2
南家三姐妹 夏日假期,1,免费,9.7,1,69154,4179,2618,16892,0.79,787765,日本,599,4398,0,134,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,8,6,3
神奇宝贝 起源,4,免费,9.7,1,142136,11955,19417,90774,5.38,5384513,日本,1539,4378,2,387,无,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,10,2,4
