title,episodes,mark,score,is_finish,follows,Follows,coins,likes,danmus,views(million),views,area,count,season_id,long_com,short_com,production,乙女,偶像,催泪,冒险,剧情,动作,动画,励志,历史,原创,喜剧,声控,奇幻,小说改,少儿,少女,恋爱,恐怖,惊悚,战斗,推理,搞笑,无,日常,时泪,智斗,机战,架空,校园,歌舞,治愈,泡面,游戏改,漫画改,热血,爱情,特摄,社团,神魔,科幻,穿越,美食,职场,萌系,萝莉,运动,音乐,魔法,year,month,day,season,其他
伯爵与妖精,12,免费,8.9,1,35.83 ,358285,3694,5066,89564,4.28,4284327,日本,701,1220,2,225,无,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,10,7,4,1
深渊传说,26,免费,8.9,1,9.92 ,99185,1701,918,25936,1.33,1334127,日本,343,1210,3,115,Sunrise,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,10,3,4,0
无法逃离的背叛,24,免费,8.9,1,53.64 ,536415,11390,41192,144010,7.22,7223302,日本,1546,1021,21,500,无,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,4,11,2,0
漫研部,13,免费,8.8,1,6.79 ,67853,792,953,5297,1.13,1126170,日本,243,7,0,74,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,1,3,1,1
创圣的大天使,26,免费,8.8,1,15.64 ,156353,1786,5071,36016,2.32,2321736,日本,334,695,2,94,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2005,4,5,2,1
丝缎女孩对谈,12,会员专享,8.8,1,1.16 ,11588,594,1161,1327,0.24,244144,日本,261,6479,0,131,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,10,3,4,1
漫画少女,14,免费,8.8,1,6.60 ,65979,943,66,270,0.02,18954,日本,205,646,0,50,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,1,2,1,1
我的妹妹是大阪大妈,13,免费,8.8,1,8.69 ,86870,1190,3646,12068,2.04,2044759,日本,324,645,1,108,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,12,21,4,1
南家三姐妹 再来一碗,13,免费,8.8,1,17.29 ,172881,11531,7160,170908,4.81,4812762,日本,1970,621,18,474,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2008,1,6,1,0
热诚传说～导师的黎明～,1,免费,8.8,1,7.99 ,79930,1433,1941,3160,1.28,1275988,日本,274,5939,0,41,无,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,12,30,4,1
精灵宝可梦 剧场版13：幻影的霸者索罗亚克,1,会员专享,8.8,1,5.70 ,57032,873,2067,6794,0.88,882385,日本,188,5745,0,37,XEBEC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,7,10,3,1
虹色DAYS OAD,1,免费,8.8,1,6.22 ,62168,713,1442,1583,0.47,469746,日本,164,5709,0,40,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,9,23,3,1
当女孩遇到熊 SP,2,免费,8.8,1,4.87 ,48708,836,822,2887,0.42,418929,日本,272,5485,0,72,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,6,24,2,0
捉迷藏,1,免费,8.8,1,6.44 ,64410,1399,2341,6073,1.98,1977943,日本,295,5097,1,95,YAMATOWORKS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,3,6,1,1
棒球伙伴,11,免费,8.8,1,6.37 ,63662,2444,1318,28199,1.15,1148100,日本,320,5059,5,126,ZERO-G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,7,15,3,1
Active Raid -机动强袭室第八课-,12,免费,8.8,1,2.90 ,28983,843,2274,6648,0.42,421103,日本,209,5054,2,67,无,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2016,1,7,1,1
Regalia 三圣星,13,免费,8.8,1,37.26 ,372594,14960,12445,121608,5.25,5248035,日本,696,5041,7,232,Actas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,7,7,3,1
名侦探柯南 绀碧之棺,1,会员专享,8.8,1,16.10 ,160955,12024,26168,61561,6.14,6136154,日本,1874,4787,6,334,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,4,21,2,1
元素猎人,39,独家,8.8,1,6.27 ,62662,2688,4341,1756,0.78,776635,日本,127,4693,1,45,无,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,7,4,3,1
新网球王子 OVA,7,会员专享,8.8,1,5.24 ,52382,2368,5429,23230,2.84,2844217,日本,241,4546,0,54,Production I.G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,4,20,2,1
奥特银河格斗 命运的冲突（中配）,10,会员专享,8.8,1,0.88 ,8837,1679,7196,3352,2.79,2785471,日本,119,42532,0,37,无,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2022,4,29,2,1
刀剑神域 Extra Edition,1,会员专享,8.8,1,65.36 ,653632,53688,38234,211709,16.8,16798298,日本,5182,4239,2,999,无,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2013,12,31,4,1
