title,episodes,mark,score,is_finish,series_follow,follows,coins,likes,danmus,views,area,count,season_type,tags,pub_date,long_com,short_com,production,cv,intro
在盛夏等待 特别篇,1,免费,9.5,1,814877,85686,4540,5183,7439,673546,日本,716,1,"['催泪', '恋爱', '科幻']",2014-08-29,1,199,无,"贵月一夏：戸松遥,雾岛海人：島﨑信長,谷川柑菜：石原夏織,石垣 哲郎：荻原秀樹,北原美樱：阿澄佳奈,山乃柠檬：田村ゆかり,贵月笑歌：堀江由衣,雾岛七海：久川綾,Rinon：日高里菜","时间点为TV版两年后的暑假。海人成为了高中三年生，其他人亦踏出了自己的道路。有天，去了海人家中游玩的哲郎发现了一卷磁带，而当中记录的正是两年前的暑假,拍摄电影前所拍摄的试拍。"
交响情人梦 OAD,2,免费,9.5,1,235083,17334,979,602,14946,487412,日本,196,1,"['音乐', '少女']",2009-08-10,1,40,无,"千秋真一：関智一,野田恵：川澄綾子",身为名钢琴家之子的优秀音乐大学生千秋真一。想要赴欧学习指挥，却因为飞机恐惧症而一直无法出国。某天，不可思议的少女野田惠，突然出现在他面前，住在垃圾房里的她，是个无可救药的怪人？这少女的出现会对真一有什么影响呢？
向阳素描×SP,2,免费,9.5,1,135335,9683,584,1238,1119,45560,日本,141,1,"['搞笑', '日常', '治愈']",2011-10-29,0,21,无,"荠：小見川千明,乃莉：原田ひとみ,ヒロ：後藤邑子,宮子：由乃：阿澄佳奈,沙英：吉野屋：松来未祐,桑原先生：桑谷夏子,梅老师：蒼樹うめ",真-治愈系《向阳素描》第四季预热用OVA
伊甸星原 EDENS ZERO,25,会员专享,9.5,1,1360793,1360793,161316,526748,192830,32202388,日本,8969,1,"['漫画改', '热血', '冒险']",2021-04-11,22,2253,无,"西奇·格兰贝尔：寺岛拓笃,丽贝卡·布鲁加甸：小松未可子,哈比：钉宫理惠,瓦伊兹·修泰纳：手冢弘道,EM皮诺：井泽诗织,焰·皋月：青木志贵","宇宙历X492年——那是无数的人们飞往宇宙，游历群星的时代。视频投稿者丽贝卡，遇到了机械行星格兰贝尔上拥有操纵重力能力的少年西奇。在被称作『魔王』,养育他长大的机械基极的教导下，西奇把朋友看得比什么都重要。和这样的西奇成为朋友的丽贝卡，带着对外面的世界一无所知的四季开始了去往宇宙的冒险。第一次见到的宇宙，第一次见到的景色，第一次见到的人们。对此感到眼前一亮，并期待着今后冒险的四季与伙伴们，他们令人兴奋的大宇宙物语现在开始——"
打了300年的史莱姆，不知不觉就练到了满级,12,会员专享,9.5,1,2913731,2913731,519609,1483790,714273,89642475,日本,31253,1,"['小说改', '穿越', '奇幻']",2021-04-10,64,8910,REVOROOT,"亚梓莎：悠木碧,莱卡：本渡枫,法尔法：千本木彩花,莎尔莎：田中美海,哈尔卡拉：原田彩枫,别西卜：沼仓爱美,芙拉特露蒂：和气杏未,罗莎莉：杉山里穗",普通的OL·相泽梓因过量工作而过劳死，在异世界转生成为不老不死的魔女亚梓莎。出于对前世的反省，她开始在边境的高原度过悠闲的慢生活。打倒史莱姆赚点小钱，像个魔女一样制作魔药提供给山麓的村子。其他就没什么特别的了。在持续过着这种生活的过程中，她开始被人称作「高原的魔女大人」并受到人们的喜爱——。在这之后过了300年。凭借不断打倒史莱姆获得的经验值，亚梓莎不知不觉间已经LV99=成为了世界最强。这个传言开始扩散，对能力有自信的冒险者自不必说，就连前来挑起决斗的龙女以及称亚梓莎为母亲的怪物少女都找上门来——！？
向阳素描×365 特别篇,2,免费,9.5,1,135335,9832,978,586,13118,220311,日本,150,1,"['搞笑', '日常']",2009-10-17,0,33, SHAFT,"由乃：阿澄佳奈,ヒロ：後藤邑子,沙英：新谷良子,宮子：水橋かおり,吉野屋：松来未祐,梅老师：蒼樹うめ",[可以算是为第三季预热把]一位憧憬山吹高中美术科，并以优异的成绩入学的少女由乃。因为家中离学校很远，而住在学校校门前的公寓“向阳庄”。住在隔壁的是同学年的同学宫子而在各自房间正下方的是学姊寻和沙英。因为聚集了各种不同性格的艺术家，使得每天都有奇怪又混乱的事情发生。因同住在向阳庄而变得熟悉的这四人，日常生活中又会发生什么样有趣的事情呢？
向阳素描×☆☆☆ 特别篇,2,免费,9.5,1,135335,9123,892,538,12248,187785,日本,140,1,"['萌系', '日常', '治愈']",2010-10-27,0,29,SHAFT,"宮子：水橋かおり,沙英：新谷良子,由乃：阿澄佳奈,ヒロ：後藤邑子,荠：小見川千明,乃莉：原田ひとみ,吉野屋：松来未祐,梅老师：蒼樹うめ","由苍树梅老师创作的四格漫画「向阳素描」，在新房及SHAFT的制作小组合作下，围绕向阳四子由乃,小宫,寻及沙英展开的动画在今年年初已经顺利播放了第三季，并一如以往四子的萌力在动画中大放异彩，成为值得推介的作品。向阳的故事是讲述向往着美术班的由乃，在离开父母后住进一间名为“向阳庄”的宿舍，并遇上形形色色的人。向阳庄以怪人群聚而闻名，因此每天都过着手忙脚乱的生活。而在第三季中，向阳四子升了一个年级，也出现新的学妹乃莉及小荠，向阳庄的六个房间第一次住满了人，变得非常热闹。而照着前两季动画的传统，第三季动画终于决定..."
猫猫日本史,32,限时免费,9.5,1,24436,24261,793,9457,804,327471,日本,124,1,"['漫画改', '泡面', '搞笑', '萌系']",2016-04-06,0,39,无,卑弥呼：小林优,根据噌西健司的同名四格漫画改编，将日本历史上的名人变成猫的故事。于2016年4月开始在NHK教育频道的天才电视节目动画档播出。
向阳素描 特别篇,2,免费,9.5,1,135335,12194,1297,1068,13966,313914,日本,167,1,"['萌系', '日常', '治愈']",2007-10-18,0,33,无,"沙英：新谷良子,宮子：水橋かおり,由乃：阿澄佳奈,ヒロ：後藤邑子,吉野屋：松来未祐,夏目：福圓美里,桑原先生：木川絵理子,梅老师：蒼樹うめ",全集主角是一位憧憬山吹高中美术科，并以优异的成绩入学的少女由乃。因为家中离学校很远，而住在学校校门前的公寓“向阳庄”。住在隔壁的是同学年的同学宫子而在各自房间正下方的是学姐寻和沙英。因为同住在向阳庄而变得熟悉的不同性格的四人，每天都有着既奇怪又有趣的事情发生。
教教我吧 北斋！,10,独家,9.5,1,137533,137533,1357,9019,1432,418633,日本,366,1,"['漫画改', '日常', '泡面']",2021-03-06,1,130,无,"冈仓天鼓林：和气杏未,雷神：小西克幸,狩野佳音：若井友希,尾形光琳：KENN,高桥由一：高桥英则,狩野永德：平川大辅,白隐慧鹤：诹访部顺一,歌川国芳：林勇,岸田刘生：小野大辅,上村松园：白石凉子,黑田清辉：村濑步","梦想着将来成为了不起的画师的高中一年级学生冈仓天鼓林。实际上，却是一个没有干劲,没有才能，成天只会偷懒的废柴女高中生……在她面前突然出现了“风神雷神图屏风”中的雷神。「我来实现你的愿望——」如此说着的雷神召唤出了尾形光琳,高桥由一,狩野永德等等在日本美术史留下大名的大画家们。跨越时空，「让梦想成功的秘诀」不断传授给天鼓林。目标是素描甲子园的优胜！天鼓林能否成功改变自己，实现梦想呢？！"
图书馆战争 革命之翼,1,免费,9.5,1,143881,37638,672,2341,1524,205290,日本,291,1,['战斗'],2012-06-16,3,85,Production I.G,"笠原郁：井上麻里奈,堂上笃：前野智昭,当麻 藏人：小牧 干久：石田彰,玄田龙助：鈴森勘司,柴崎麻子：沢城みゆき,手塚 光：鈴木達央,手塚 慧：吉野裕行,儿岛 清花：潘めぐみ","「图书馆战争」作为一部集结科幻,军事要素的小说，曾在书店大奖和星云奖中获奖，除了动画，还有漫画连载。故事发生在近未来的2019年（正化31年），政府为了公序良俗等理由而制定的「媒体良化法」已经实行30年了，而在这当中，有着唯一一个与强权机关对抗的组织“图书馆”，那是一群热爱图书自由的人们而武装自己与媒体良化委员会进行斗争，虽然有点拙笨但十分努力且满腔热情的主角笠原郁在因缘际会之下，被派遣到有着精锐部队“图书馆特种部队（Library Taskforce）”里，故事便由此拉开帷幕……"
滑头鬼之孙 ～奴良组事始～,1,免费,9.5,1,1460214,148984,3857,6111,11915,1935958,日本,639,1,['战斗'],2013-03-04,0,145,Studio DEEN,奴良陆生：福山潤,"魑魅魍魉之主,拥有“畏”之传说中的大妖怪滑瓢与奴良组创立的故事。原作未描写的奴良组总大将滑瓢谜样的诞生秘密，揭露！拥有一万以上妖怪的奴良组本家由此创立~鲤伴,陆生及奴良组的故事接载！"
女神异闻录3 剧场版 #3 Falling Down,1,会员专享,9.5,1,269011,71117,7050,6470,39131,3034969,日本,338,1,"['科幻', '奇幻', '校园', '战斗']",2015-04-04,0,57,A1 Pictures,"结城理：石田彰,伊织顺平：鳥海浩輔,岳羽由香里：豊口めぐみ,桐条美鹤：田中理恵,真田明彦：緑川光,荒垣真次郎：中井和哉,山岸风花：能登麻美子,天田乾：緒方恵美,Aegis：坂本真綾","隐藏在每天交替时刻的狭缝中的时间，“影时间”。每当影时间来临，世界便停止运转，人们化为静立的棺木。之后，异形的怪物“Shadow”便现身破坏。能够与之对抗的，只有能够使用“Persona”这种特殊能力的人类。转学到私立月光馆学园的少年结城理觉醒了Persona的力量，之后被前辈桐条美鹤邀请加入“特別课外活动部”。在那里聚集的，都是同样拥有力量的Persona使用者。他们为了各自的目的追寻着影时间的真相，并与难以想像的命运展开了对峙ーー。继第一章“Spring of Birth”,第二章“Midsummer Knight's Dream”，本次迎来了第三章“Falling Down”。"
女神异闻录3 电影版 第二章：仲夏骑士之梦,1,会员专享,9.5,1,269011,75238,7050,6470,39131,3034969,日本,361,1,"['科幻', '奇幻', '校园', '战斗']",2014-06-07,0,65,A1 Pictures,"结城理：石田彰,伊织顺平：鳥海浩輔,岳羽由香里：豊口めぐみ,桐条美鹤：田中理恵,真田明彦：緑川光,荒垣真次郎：中井和哉,山岸风花：能登麻美子,天田乾：緒方恵美,Aegis：坂本真綾",隐藏在每天交替时刻的狭缝中的时间，“影时间”。每当影时间来临，世界便停止运转，人们化为静立的棺木。之后，异形的怪物“Shadow”便现身破坏。能够与之对抗的，只有能够使用“Persona”这种特殊能力的人类。转学到私立月光馆学园的少年结城理觉醒了Persona的力量，之后被前辈桐条美鹤邀请加入“特別课外活动部”。在那里聚集的，都是同样拥有力量的Persona使用者。他们为了各自的目的追寻着影时间的真相，并与难以想像的命运展开了对峙ーー。剧场版第二章“Midsummer Knight's Dream”登场。
初音岛II S.S.,13,独家,9.5,1,529728,120553,2604,4386,19008,1068689,日本,459,1,"['日常', '游戏改', '校园', '恋爱']",2008-04-05,7,148,ZEXCS,"朝仓 音姬：高垣彩陽,桜内義之：浅沼晋太郎,朝仓 由梦：白河 奈奈佳：茅原実里,月島 小恋：南條愛乃,芳乃樱：田村由加莉",在樱花全年都盛开的初音岛上。岛上风见学院里上学的樱内义之，寄住在学园长芳乃樱的家里，在学园里和同学们过着充实的每一天。在这平常的日子里，不知道从什么时候开始他那甜蜜而酸涩的恋爱故事开始了
小不点社长,15,独家,9.5,1,250524,250524,9229,36104,4319,2320595,日本,2411,1,"['漫画改', '泡面', '搞笑']",2021-01-01,5,844,project No.9,"六科驯染：日高里菜,割户真友：金元寿子,轻井泽友纪：上坂すみれ,外派工卡尔西亚：金子彩花,元桥莉亚：桥本千波,野鳄鱼：古贺葵,投诉人：杉田智和,玉米浓汤大叔：长,面包店店主：大冢芳忠,卡尔西亚的母亲：久川绫,肥胖上班族：兴津和幸,须田丹龙斋：玄田哲章,电视D：福山润,设计师：小岩井小鸟,驯染的母亲：田村由香里",本作讲述年仅五岁便担任社长一职的六科在世间的激浪中不断前进的令人捧腹大笑的写实派（？）搞笑喜剧。
